offset,dA,tc,A,f,df
29.0618291387,0.0480480464,75.1672750012,7.478908681,0.1986310145,0.0070134101
29.7091697578,0.0002718534,75.1672750012,9.5874367911,0.1987405419,0.0070134101
28.8872053796,0.011435811,75.4684014917,8.5647128558,0.1987405419,0.0070134101
28.8872053796,0.011435811,75.7863626478,8.462228251,0.1987405419,0.0070134101
29.4384257391,0.011435811,75.7863626478,8.462228251,0.1989497619,0.0070134101
29.4384257391,0.0175161088,75.7863626478,8.6481426608,0.1989497619,0.0070134101
28.4861140603,0.0133547418,75.7863626478,8.6481426608,0.1989497619,0.0070134101
28.4861140603,0.0133547418,75.6798405963,9.4459564212,0.1989497619,0.0070043104
29.5179856107,0.0133547418,75.6798405963,9.4459564212,0.1989497619,0.0070043104
29.5179856107,0.0133547418,75.6751359397,7.6021775388,0.1988830868,0.0070072578
29.5179856107,0.0133547418,75.6751359397,7.4123622275,0.1988830868,0.006996017
29.5179856107,0.0133547418,75.6751359397,7.4123622275,0.1988830868,0.007021702
29.5179856107,0.003336111,75.6751359397,7.4123622275,0.1988830868,0.007021702
29.5179856107,0.003336111,76.0225582102,8.2062771156,0.1988830868,0.007021702
29.2799334362,0.003336111,76.0225582102,8.2062771156,0.1988830868,0.0070109797
29.2799334362,0.0067154695,75.268601698,8.4313544405,0.1988830868,0.0070109797
29.2799334362,0.0067154695,75.268601698,8.4313544405,0.1993676461,0.0070109797
29.2799334362,0.0067154695,76.5610940582,8.2240873676,0.1993676461,0.0070109797
29.2799334362,0.0067154695,74.0524422507,6.9554032952,0.1993676461,0.0070109797
29.2799334362,0.0067154695,74.908908511,8.5722402233,0.1993676461,0.0069971726
29.2799334362,0.0067154695,75.1547321372,8.5722402233,0.1993676461,0.0069971726
29.2799334362,0.0067154695,75.1547321372,8.5722402233,0.1993676461,0.0069971726
29.2799334362,0.0067154695,75.1547321372,6.8158092475,0.2003784984,0.0069971726
29.485393204,0.0368716933,75.1547321372,6.8158092475,0.2003784984,0.0069971726
29.485393204,0.0272472623,75.6497793914,9.3585796901,0.2003784984,0.0069876724
29.485393204,0.0272472623,75.6497793914,7.9330814804,0.20025071,0.0069876724
29.485393204,0.0272472623,75.6497793914,7.9230971264,0.20025071,0.00698782
29.485393204,0.0272472623,75.6497793914,7.9230971264,0.20025071,0.00698782
29.1258712415,0.0272472623,75.6497793914,7.1196913916,0.20025071,0.00698782
29.1258712415,0.0272472623,75.6497793914,7.671765363,0.20025071,0.00698782
29.1258712415,0.0272472623,75.6497793914,8.4586244171,0.2002633753,0.0069897189
29.1258712415,0.0272472623,75.6497793914,8.4586244171,0.2002633753,0.0069920175
29.1258712415,0.0272472623,75.6497793914,8.4586244171,0.2002633753,0.0069920175
29.1258712415,0.0272472623,75.6497793914,6.91668831,0.2002633753,0.0069941387
29.1258712415,0.0272472623,74.8409021709,6.91668831,0.2002633753,0.0069941387
29.1258712415,0.0272472623,74.8409021709,6.91668831,0.2002633753,0.0069941387
29.1258712415,0.0272472623,75.8958753329,6.91668831,0.2002633753,0.0069815459
28.5998101536,0.0272472623,75.5439818454,7.8492137538,0.2002633753,0.0069815459
28.5998101536,0.0292475554,75.5439818454,7.8492137538,0.2002633753,0.0069815459
29.3155776812,0.0292475554,75.5439818454,7.5054789836,0.2002633753,0.0069815459
29.3155776812,0.0292475554,75.5439818454,8.5334308092,0.2002633753,0.0069815459
28.563231543,0.0292475554,73.1563562362,7.629622499,0.2002633753,0.0069815459
28.563231543,0.0292475554,74.0496764852,7.629622499,0.2002633753,0.0069852524
28.563231543,0.0117055713,74.0496764852,7.4528419336,0.2002633753,0.0069852524
28.563231543,0.0117055713,73.9660953372,9.3763054451,0.2002633753,0.0069852524
28.563231543,0.0117055713,73.9660953372,9.6953639453,0.2002633753,0.0069852524
28.563231543,0.0117055713,73.9660953372,9.6953639453,0.199774535,0.0069852524
28.563231543,0.0117055713,74.3747112676,9.0145378442,0.2009914968,0.0069852524
29.6138737588,0.0117055713,71.5635267057,9.0145378442,0.2009914968,0.0069700489
29.6138737588,0.0088288855,73.2336765323,9.0145378442,0.2005759692,0.0069700489
29.6138737588,0.0088288855,73.2336765323,9.0145378442,0.2017754973,0.0069700489
29.6138737588,0.0088288855,73.2336765323,9.0145378442,0.2017754973,0.0069700489
29.6138737588,0.0088288855,73.643179787,9.0145378442,0.2017754973,0.0069700489
29.4629460774,0.0088288855,75.2629440546,8.5158359656,0.2017754973,0.0069678794
29.4629460774,0.0088288855,75.2629440546,7.5965395522,0.2017754973,0.0069678794
29.4629460774,0.0236602293,75.460800246,8.2651641375,0.2017754973,0.0069678794
29.4629460774,0.0236602293,75.460800246,9.1278661509,0.2017754973,0.0069678794
29.4629460774,0.0236602293,75.460800246,8.0378706409,0.2017754973,0.0069678794
29.4629460774,0.0236602293,75.460800246,8.4526193582,0.201890947,0.0069678794
29.4629460774,0.0236602293,75.460800246,8.4526193582,0.201890947,0.0069667479
30.0311546243,0.0236602293,75.460800246,7.8214650804,0.201890947,0.0069667479
28.5733344811,0.0236602293,75.460800246,7.8214650804,0.201890947,0.0069667479
28.5733344811,0.0236602293,75.460800246,7.8214650804,0.201890947,0.0069667479
28.5733344811,0.0236602293,75.460800246,7.8214650804,0.2017078493,0.0069667479
28.5669838946,0.0236602293,75.586296491,7.4816778838,0.2017078493,0.0069667479
28.5669838946,0.0236602293,75.6402647862,7.9724511467,0.2017078493,0.0069667479
28.5669838946,0.0405554721,75.6402647862,7.9724511467,0.2017078493,0.0069667479
28.5669838946,0.0405554721,75.6402647862,7.9724511467,0.2015537314,0.0069667479
29.7043769232,0.0405554721,75.6402647862,7.9724511467,0.2015537314,0.0069667479
29.7483609781,0.0358242581,75.30659867,7.9724511467,0.2015537314,0.0069667479
29.7483609781,0.0358242581,75.30659867,7.9724511467,0.2015537314,0.0069667479
29.7483609781,0.0358242581,75.30659867,8.5428599463,0.2015537314,0.0069667479
29.0049061746,0.0358242581,75.30659867,8.6314420937,0.2015537314,0.0069667479
29.0049061746,0.0358242581,75.30659867,8.6314420937,0.2013835195,0.0069667479
28.1986263064,0.0358242581,75.30659867,8.2042862726,0.2013835195,0.0069667479
28.1986263064,0.0358242581,75.30659867,8.2042862726,0.2013835195,0.0069667479
29.1231898977,0.0358242581,75.30659867,8.2042862726,0.2012303776,0.0069667479
29.1231898977,0.0358242581,75.30659867,8.2042862726,0.2016195919,0.0069667479
